Churn Reason,avg_tenure_months,avg_monthly_charges,churn_count
Attitude of support person,18.09375,72.81692708333334,192
Competitor offered higher download speeds,19.53968253968254,74.83915343915343,189
Competitor offered more data,19.820987654320987,76.24537037037037,162
Don't know,16.7987012987013,72.07175324675325,154
Competitor made better offer,15.857142857142858,76.22928571428572,140
Attitude of service provider,17.844444444444445,77.03185185185184,135
Competitor had better devices,15.96923076923077,72.55653846153847,130
Network reliability,17.0,72.79174757281554,103
Product dissatisfaction,21.127450980392158,73.81029411764706,102
Price too high,18.5,75.49540816326531,98
