churn_reason,count
Attitude of support person,192
Competitor offered higher download speeds,189
Competitor offered more data,162
Don't know,154
Competitor made better offer,140
Attitude of service provider,135
Competitor had better devices,130
Network reliability,103
Product dissatisfaction,102
Price too high,98
Service dissatisfaction,89
Lack of self-service on Website,88
Extra data charges,57
Moved,53
Limited range of services,44
Long distance charges,44
Lack of affordable download/upload speed,44
Poor expertise of phone support,20
Poor expertise of online support,19
Deceased,6
